Date file: /home/fk1j/ib9503_04/test_case9_hfb/hfb320_10.cdf
19 Variables plus time, with 601 values each

              T           DELV           PDYN         THRUST          TASCG          ALFCG            THE              Q           QDOT           AXCG           AZCG           AYCG              P              R           PDOT           RDOT          BETCG            PHI           DAIL           DRUD
              S            RAD             PA              N            M/S            RAD            RAD          RAD/S         RAD/S2           M/S2           M/S2           M/S2          RAD/S          RAD/S         RAD/S2         RAD/S2            RAD            RAD            RAD            RAD

        2.30000    -0.00724842       4415.397       11607.81       105.3708      0.1096878      0.0933643    -0.00499006     -0.0074630       0.935138       -9.65742     -0.0905816    -0.02514759     0.00836505     0.00433562    -0.01568446     0.00776465     0.00292691    -0.03772150    -0.01577634
        2.40000    -0.00724842       4422.354       11570.77       105.5479      0.1099300      0.0919472    -0.00602340     -0.0077501       0.944881       -9.65753     -0.0676659    -0.02514759     0.00766797     0.00028905     0.00464726     0.00474919     0.00137118    -0.03781933    -0.01587570
        2.50000    -0.00724842       4425.836       11570.77       105.5481      0.1098956      0.0919472    -0.00636785     -0.0011482       0.945613       -9.65518     -0.0683338    -0.02480074     0.00906214     0.00708147     0.01277994     0.00250107    -0.00122170    -0.03781933    -0.01562729
        2.60000    -0.00724842       4425.836       11590.75       105.5481      0.1085171      0.0910616    -0.00636785     -0.0005741       0.926137       -9.43424     -0.0684162    -0.02376019     0.00975923     0.01271778     0.00290451     0.00471120    -0.00381458    -0.03791717    -0.01562729
        2.70000    -0.00724842       4443.232       11590.75       105.5481      0.1066791      0.0908844    -0.00636785      0.0050232       0.897439       -9.26057     -0.0751002    -0.02254623     0.00975923     0.00375756    -0.00058090     0.00260586    -0.00588888    -0.03781933    -0.01577634
        2.80000    -0.00724842       4425.836       11590.70       105.5475      0.1059781      0.0896446    -0.00533451      0.0117686       0.878633       -9.20913     -0.0409710    -0.02237280     0.00975923     0.02543553     0.00116181    -0.00226608    -0.00951891    -0.03791717    -0.01577634
        2.90000    -0.00724842       4422.354       11590.70       105.5469      0.1042604      0.0896446    -0.00412894      0.0137779       0.859311       -9.07352     -0.0045967    -0.01821063     0.00975923     0.01026095    -0.00871358     0.00108496    -0.00951891    -0.03781933    -0.01587570
        3.00000    -0.00650563       4425.836       11557.84       105.3694      0.1026917      0.0896446    -0.00257893      0.0172224       0.854794       -9.07231     -0.0148286    -0.01959802     0.00836505     0.02875951    -0.00232361    -0.00341453    -0.01107464    -0.03752583    -0.01617381
        3.10000    -0.00724842       4415.397       11567.83       105.3684      0.1014852      0.0891132    -0.00085669      0.0136344       0.839750       -8.96321      0.0039623    -0.01266106     0.00906214     0.03786431    -0.00784226    -0.00279862    -0.01366752    -0.03781933    -0.01622349
        3.20000    -0.00724842       4422.354       11587.79       105.3678      0.1010141      0.0894674     0.00017666      0.0111946       0.859016       -9.07445      0.0185488    -0.01248763     0.00697088     0.03092735    -0.00493771    -0.00843749    -0.01366752    -0.03781933    -0.01632285
        3.30000    -0.00724842       4422.354       11567.79       105.3671      0.0996583      0.0892903     0.00155445      0.0160743       0.849791       -8.97462      0.0410186    -0.00676464     0.00801651     0.01286229    -0.00406635    -0.01029892    -0.01574183    -0.03791717    -0.01617381
        3.40000    -0.00724842       4443.232       11597.74       105.3661      0.0998304      0.0891132     0.00327669      0.0160742       0.830241       -8.87652      0.0483453    -0.00953943     0.00592525     0.00520273    -0.01394176    -0.00425774    -0.01781613    -0.03801500    -0.01657127
        3.50000    -0.00743411       4425.836       11559.95       105.4977      0.0997378      0.0896446     0.00465448      0.0123427       0.839609       -8.96369      0.0259306    -0.00451013     0.00557670     0.05144911    -0.00697089    -0.01605453    -0.01781613    -0.03811284    -0.01667064
        3.60000    -0.00854829       4408.438       11547.77       105.3647      0.1016797      0.0896446     0.00568782      0.0074630       0.897705       -9.25973      0.0644896    -0.00069480     0.00418253     0.03063825    -0.01713677    -0.00939975    -0.01729755    -0.03830850    -0.01657127
        3.70000    -0.00780551       4404.958       11587.72       105.3645      0.1035523      0.0919472     0.00603227     -0.0022963       0.906401       -9.47166      0.0113185     0.00225341     0.00243981     0.04465668    -0.01394176    -0.01099830    -0.01781613    -0.03830850    -0.01662095
        3.80000    -0.00780551       4394.520       11567.75       105.3649      0.1052066      0.0914159     0.00534337     -0.0087547       0.905687       -9.47396      0.0821389     0.00780297     0.00139418     0.04118821    -0.01161816    -0.01119083    -0.01781613    -0.03869984    -0.01657127
        3.90000    -0.00799120       4415.397       11589.19       105.4536      0.1061713      0.0921244     0.00465448      0.0000000       0.906646       -9.43406      0.0568389     0.00988406     0.00000000     0.01242872    -0.01510359    -0.00763046    -0.01781613    -0.03879767    -0.01647190
        4.00000    -0.00761981       4439.754       11540.69       105.5416      0.1073712      0.0924786     0.00517115      0.0022963       0.936212       -9.65397      0.0101937     0.01092460    -0.00139418     0.00896026    -0.00813271    -0.00903001    -0.01677898    -0.03899334    -0.01637254
        4.10000    -0.00724842       4443.232       11570.66       105.5419      0.1077792      0.0933643     0.00465448     -0.0152131       0.944057       -9.67245      0.0336329     0.01231200    -0.00174272     0.02948214    -0.00522819    -0.01475480    -0.01418610    -0.03909117    -0.01647190
        4.20000    -0.00799120       4422.354       11567.79       105.3665      0.1087223      0.0942499     0.00258779     -0.0133474       0.934483       -9.47559      0.0700714     0.01647417    -0.00278835     0.03555196    -0.01771765    -0.01251740    -0.01314895    -0.03909117    -0.01667064
        4.30000    -0.00724842       4411.917       11587.75       105.3667      0.1091473      0.0937185     0.00224334      0.0008611       0.936046       -9.65448      0.0399789     0.01890211    -0.00487961     0.02225612    -0.01248950    -0.00644951    -0.01107464    -0.03909117    -0.01677001
        4.40000    -0.00724842       4408.438       11567.79       105.3669      0.1104914      0.0940728     0.00189890     -0.0202364       0.972811       -9.85817     -0.0251467     0.02098320    -0.00522816     0.01416301    -0.00639000    -0.00989653    -0.01055607    -0.03918901    -0.01637254
        4.50000    -0.00093475       4387.561       11547.85       105.3690      0.1101126      0.0947813    -0.00189003     -0.0421949       0.980168       -9.87822      0.0831980     0.02167690    -0.00627379    -0.00419104    -0.00464726    -0.01596124    -0.00640746    -0.03918901    -0.01637254
        4.60000     0.00352195       4415.397       11567.86       105.3714      0.1115202      0.0933643    -0.00619563     -0.0493709       0.998933      -10.06471      0.0902721     0.02167690    -0.00627379     0.04263344    -0.00551861    -0.02042764    -0.00951891    -0.03909117    -0.01637254
        4.70000     0.00333625       4436.273       11597.90       105.3747      0.1127899      0.0933643    -0.01187902     -0.0654452       1.026510      -10.26664      0.0896466     0.02948098    -0.00766797     0.05636284    -0.02033171    -0.01667528    -0.00225885    -0.03933576    -0.01672032
        4.80000     0.00389335       4457.151       11597.94       105.3786      0.1138241      0.0907073    -0.01876798     -0.0628618       0.978012      -10.08180      0.0333806     0.03225576    -0.00975923     0.05000396    -0.01016587    -0.01434127    -0.00122170    -0.03918901    -0.01696874
        4.90000     0.00315056       4457.151       11590.89       105.5581      0.1133112      0.0896445    -0.02393470     -0.0419079       0.941299       -9.76784      0.0346567     0.03867245    -0.00975923     0.01604175    -0.00290458    -0.01024962     0.00292691    -0.03928684    -0.01637254
        5.00000     0.00389335       4474.549       11563.84       105.7365      0.1112659      0.0868104    -0.02720696     -0.0241114       0.918892       -9.66342      0.0298949     0.03520397    -0.01080486    -0.03237250    -0.01626542    -0.00854133     0.00707552    -0.03909117    -0.01637254
        5.10000     0.00333625       4484.990       11578.92       106.0467      0.1110851      0.0834450    -0.02910142     -0.0200928       0.914496       -9.67424     -0.0526702     0.03381657    -0.01254758    -0.00982741    -0.00813270    -0.00773001     0.00966839    -0.03918901    -0.01627317
        5.20000     0.00389335       4481.508       11608.94       106.0478      0.1095014      0.0806109    -0.03116811     -0.0106205       0.896041       -9.41337     -0.0382436     0.03225576    -0.01254758    -0.03757524    -0.00668042    -0.00448974     0.01381700    -0.03909117    -0.01612412
        5.30000     0.00389335       4478.030       11598.94       106.0480      0.1090077      0.0772455    -0.03151256     -0.0123428       0.895875       -9.46301     -0.0084927     0.02687961    -0.01394176    -0.03569654    -0.00755177    -0.00129365     0.01537273    -0.03909117    -0.01607444
