Data file: /home/fk1j/attas/aiaa_general/check_stall/stall_f623_qst01.cdf
44 Variables plus time, with 3001 values each

              T           AXCG           AYCG           AZCG          AYCKP          AZCKP           PRGX           QRGY           RRGZ            PHI            THE            PSI           ALCG           BECG         VTASCG           HQNH           PDOT           QDOT           RDOT          HRADIO          VCAS           DELV          IHTRM          N1T1L          N1T2R          DLC_L          DLC_R         DAIL_L         DAIL_R           DRUD           MACH            SAT          PSTAT            RHO          PHLAT          LALON           FN_L           FN_R         FUELUS         BETDOT             FW          ALDOT           FLAP         DSPL_L         DSPL_R
              s         M/S**2         M/S**2         M/S**2         M/S**2         M/S**2          DEG/S          DEG/S          DEG/S            DEG            DEG            DEG            DEG            DEG            M/S              M         DEG/S2         DEG/S2         DEG/S2              M            M/S            DEG            DEG        PROZENT        PROZENT            DEG            DEG            DEG            DEG            DEG             --             °K             PA          Kg/m3            DEG            DEG              N              N             KG          DEG/S             --          DEG/S            DEG            DEG            DEG

         7.4400       0.577575      0.1188090       -8.90944       0.188317       -8.90517    -0.00022483      0.0060861     0.00040376     -0.0589624      0.1068034       0.024352        5.05065      -0.950157       98.90728       5489.601      0.0033913     -0.0104376    -0.00008258       787.8696       76.95768      0.0337233    -0.02322459       70.45997       72.20330    -0.01484414    -0.01459798    -0.01673880     0.00428322    -0.01904368      0.3178125       249.6721       50823.87      0.7091463      0.9366691      0.1897313        6104.88        6588.03       1992.000      0.0640173   0.000000E+00     -0.0000029     0.02187159    0.001501158    0.003365159
         7.4800       0.662754      0.2321160       -8.83846       0.092049       -8.83454    -0.00310242      0.0060861     0.00040376     -0.0590583      0.1066117       0.024352        5.05083      -0.960738       98.83283       5489.753      0.0004956     -0.0135407     0.00001565       787.8696       76.95768      0.0333484    -0.02341288       70.25134       71.78574    -0.01484414    -0.01459798    -0.01692486     0.00352678    -0.01904368      0.3176875       249.6794       50823.87      0.7091255      0.9366691      0.1897313        6049.66        6474.88       1992.000     -0.0352094   0.000000E+00      0.0002751     0.02194927    0.001501158    0.003548265
         7.5200       0.648558      0.1680729       -9.09873       0.260518       -8.92872    -0.00166368      0.0039222     0.00040376     -0.0593459      0.1065158       0.024352        5.05120      -0.968804       98.66800       5489.753     -0.0002069     -0.0137472     0.00003384       787.8696       76.92552      0.0333484    -0.02303630       69.83408       71.55086    -0.01448430    -0.01459798    -0.01673880     0.00409412    -0.01904368      0.3176875       249.6956       50823.87      0.7090794      0.9366691      0.1897313        5941.44        6417.31       1992.000     -0.0600162   0.000000E+00     -0.0002950     0.02187159    0.001501158    0.003365159
         7.5600       0.525521      0.1483672       -8.90944       0.116116       -8.78746    -0.00094426      0.0046436     0.00040376     -0.0595376      0.1064199       0.024352        5.04911      -0.975858       98.48936       5489.753      0.0011355     -0.0106834    -0.00002965       787.8696       76.92552      0.0333484    -0.02331874       69.44289       71.13329    -0.01455932    -0.01470978    -0.01655278     0.00409412    -0.01904368      0.3176875       249.7132       50823.87      0.7090297      0.9366691      0.1897313        5841.00        6309.65       1992.000      0.0432122   0.000000E+00     -0.0016108     0.02187159    0.001501158    0.003365159
         7.6000       0.572842      0.2567475       -8.83846       0.140183       -8.90517    -0.00310242      0.0046436     0.00040376     -0.0597294      0.1062282       0.024352        5.04365      -0.983337       98.37820       5489.905      0.0030952     -0.0058358    -0.00005350       787.8696       76.92552      0.0333484    -0.02294216       69.33857       70.61134    -0.01455932    -0.01428592    -0.01673880     0.00428322    -0.01904368      0.3175625       249.7240       50823.87      0.7089987      0.9366722      0.1897313        5816.25        6169.13       1992.000      0.0512132   0.000000E+00     -0.0028969     0.02187159    0.001501158    0.003365159
         7.6400       0.492395      0.1631462       -9.12238       0.260518       -8.97581    -0.00022483      0.0024796     0.00040376     -0.0600170      0.1060364       0.024352        5.03651      -0.990587       98.36341       5490.058      0.0041894     -0.0023497     0.00005992       787.8696       76.88533      0.0333484    -0.02341288       68.94739       70.48085    -0.01459888    -0.01480992    -0.01692486     0.00522879    -0.01904368      0.3175625       249.7255       50823.87      0.7089946      0.9366722      0.1897313        5708.49        6133.61       1992.000     -0.0640171   0.000000E+00     -0.0033163     0.02187159    0.001501158    0.003365159
         7.6800       0.572842      0.1877787       -9.16971       0.092049       -8.81100    -0.00094426      0.0024796     0.00040376     -0.0602088      0.1058447       0.024352        5.02987      -1.000155       98.41525       5490.058      0.0038638     -0.0028664     0.00025368       787.8696       76.88533      0.0333484    -0.02303630       68.47797       70.11549    -0.01484414    -0.01449784    -0.01692486     0.00466144    -0.01904368      0.3175625       249.7204       50823.87      0.7090091      0.9366722      0.1897313        5576.17        6029.96       1992.000      0.0016006   0.000000E+00     -0.0025625     0.02187159    0.001501158    0.003365159
         7.7200       0.473467      0.1532938       -9.05140       0.260518       -8.90517    -0.00238311      0.0060861     0.00040376     -0.0604005      0.1056529       0.024352        5.02532      -1.015080       98.48039       5490.210      0.0026105     -0.0074625     0.00031329       787.8696       76.88533      0.0335358    -0.02322459       68.34757       69.75011    -0.01470173    -0.01459798    -0.01692486     0.00447235    -0.01904368      0.3175625       249.7140       50823.87      0.7090272      0.9366722      0.1897343        5537.21        5925.77       1992.000      0.0176050   0.000000E+00     -0.0011005     0.02187159    0.001501158    0.003365159
         7.7600       0.530253      0.1532938       -8.69650       0.188317       -8.90517     0.00049460      0.0032009     0.00040376     -0.0604964      0.1054612       0.024352        5.02437      -1.037189       98.50034       5490.362      0.0015906     -0.0134147    -0.00004572       787.8696       76.83710      0.0333484    -0.02313045       68.03462       69.33255    -0.01459888    -0.01449784    -0.01636675     0.00447235    -0.01904368      0.3173750       249.7121       50823.87      0.7090327      0.9366722      0.1897343        5448.57        5808.03       1992.000      0.0208048   0.000000E+00      0.0000878     0.02187159    0.001501158    0.003365159
         7.8000       0.454538      0.2419684       -8.90944       0.164250       -8.78746    -0.00166368      0.0032009     0.00040376     -0.0607840      0.1052694       0.024256        5.02532      -1.065470       98.45115       5490.362      0.0019195     -0.0167582    -0.00095355       787.8696       76.83710      0.0333484    -0.02303630       67.85207       69.01938    -0.01455932    -0.01439770    -0.01673880     0.00428322    -0.01904368      0.3173750       249.7950       50823.87      0.7087973      0.9366722      0.1897343        5397.94        5721.18       1992.000     -0.0512140   0.000000E+00      0.0002368     0.02187159    0.001501158    0.003365159
         7.8400       0.520789      0.2518218       -8.74382       0.260518       -8.74037    -0.00094426      0.0017583     0.00040376     -0.0609757      0.1050777       0.024256        5.02468      -1.095710       98.35128       5490.362      0.0037776     -0.0151772    -0.00207194       787.8696       76.83710      0.0331609    -0.02331874       67.51304       68.70621    -0.01470173    -0.01449784    -0.01673880     0.00428322    -0.01941812      0.3173750       249.8048       50823.87      0.7087696      0.9366751      0.1897343        5308.40        5638.81       1992.000     -0.0968258   0.000000E+00     -0.0005934     0.02187159    0.001501158    0.003365159
         7.8800       0.464003      0.1927044       -8.83846       0.164250       -8.74037    -0.00094426     -0.0004056     0.00040376     -0.0611675      0.1047901       0.024256        5.02218      -1.124840       98.23197       5490.362      0.0061950     -0.0102851    -0.00262322       787.8696       76.78887      0.0333484    -0.02331874       66.99146       68.52352    -0.01484414    -0.01449784    -0.01692486     0.00428322    -0.01941812      0.3171875       249.8165       50823.87      0.7087364      0.9366751      0.1897343        5168.03        5592.30       1992.000      0.0648175   0.000000E+00     -0.0016982     0.02187159    0.001501158    0.003365159
         7.9200       0.421413      0.1237357       -8.95676       0.188317       -8.81100    -0.00022483     -0.0004056     0.00040376     -0.0613592      0.1046942       0.024256        5.01773      -1.149888       98.13261       5490.515      0.0079125     -0.0064027    -0.00199923       787.8696       76.78887      0.0331609    -0.02341288       66.70459       68.07986    -0.01470173    -0.01459798    -0.01655278     0.00447235    -0.01941812      0.3171875       249.8262       50823.87      0.7087089      0.9366751      0.1897343        5092.85        5473.71       1992.000      0.0448126   0.000000E+00     -0.0024020     0.02179393    0.001501158    0.003365159
         7.9600       0.511325      0.2666008       -8.93310       0.260518       -8.85809    -0.00022483      0.0032009    -0.00031412     -0.0616469      0.1044066       0.024256        5.01195      -1.166576       98.07095       5489.601      0.0080098     -0.0066954    -0.00036577       787.8696       76.78887      0.0335358    -0.02313045       66.67851       67.76669    -0.01459888    -0.01469812    -0.01636675     0.00390500    -0.01941812      0.3171875       249.8322       50797.44      0.7083232      0.9366781      0.1897343        5085.63        5386.84       1992.000     -0.0928260   0.000000E+00     -0.0025023     0.02187159    0.001501158    0.003365159
         8.0000       0.511325      0.2764533       -8.76748       0.260518       -8.74037     0.00049460      0.0017583    -0.00031412     -0.0618386      0.1041190       0.024256        5.00649      -1.177092       98.04121       5489.601      0.0061649     -0.0105571     0.00133496       787.8696       76.73260      0.0333484    -0.02322459       66.18301       67.55791    -0.01455932    -0.01439770    -0.01636675     0.00390500    -0.01941812      0.3169375       249.8351       50823.87      0.7086836      0.9366781      0.1897343        4950.91        5331.59       1992.000     -0.0040011   0.000000E+00     -0.0022410     0.02187159    0.001501158    0.003365159
         8.0400       0.454538      0.2124102       -8.79114       0.260518       -8.66974     0.00049460     -0.0004056     0.00040376     -0.0619345      0.1039272       0.024256        5.00190      -1.184439       98.03739       5489.753      0.0031452     -0.0140595     0.00187502       787.8696       76.73260      0.0337233    -0.02303630       65.76575       67.40132    -0.01434189    -0.01449784    -0.01673880     0.00428322    -0.01941812      0.3169375       249.8355       50823.87      0.7086825      0.9366781      0.1897343        4840.65        5288.38       1992.000      0.0992277   0.000000E+00     -0.0020512     0.02187159    0.001501158    0.003365159
         8.0800       0.435610      0.2419684       -8.81480       0.260518       -8.85809     0.00049460     -0.0011269     0.00040376     -0.0620304      0.1036396       0.024256        4.99699      -1.186072       98.04254       5489.905      0.0005651     -0.0125868     0.00043825       787.8696       76.73260      0.0337233    -0.02350703       65.58319       67.03595    -0.01468997    -0.01449784    -0.01673880     0.00428322    -0.01941812      0.3169375       249.8350       50823.87      0.7086840      0.9366781      0.1897343        4803.90        5186.98       1992.000     -0.1064292   0.000000E+00     -0.0022080     0.02187159    0.001501158    0.003181994
         8.1200       0.525521      0.2764533       -8.67283       0.188317       -8.71683     0.00121391     -0.0011269     0.00040376     -0.0622221      0.1034478       0.024160        4.99153      -1.182153       98.04221       5489.905     -0.0001929     -0.0046746    -0.00276838       787.8696       76.69241      0.0333484    -0.02322459       65.42672       66.67059    -0.01498654    -0.01469812    -0.01673880     0.00428322    -0.01941812      0.3167500       249.8350       50823.87      0.7086838      0.9366781      0.1897343        4771.49        5084.75       1992.000     -0.0032007   0.000000E+00     -0.0025686     0.02187159    0.001501158    0.003365159
         8.1600       0.478199      0.2173369       -8.90944       0.260518       -8.74037    -0.00022483     -0.0018482     0.00040376     -0.0623180      0.1030643       0.024160        4.98553      -1.176340       98.04105       5490.058      0.0011890      0.0061531    -0.00649403       787.8696       76.69241      0.0333484    -0.02294216       65.19201       66.46180    -0.01462671    -0.01449784    -0.01655278     0.00390500    -0.01941812      0.3167500       249.8351       50823.87      0.7086836      0.9366781      0.1897343        4724.58        5027.01       1992.000      0.0560150   0.000000E+00     -0.0028507     0.02187159    0.001501158    0.003365159
         8.2000       0.411948      0.2321160       -8.95676       0.140183       -8.69328    -0.00022483     -0.0011269    -0.00031412     -0.0624138      0.1028726       0.024160        4.97866      -1.171409       98.03573       5490.362      0.0038644      0.0142555    -0.00914797       787.8696       76.69241      0.0335358    -0.02322459       64.82690       66.30521    -0.01455932    -0.01470978    -0.01636675     0.00409412    -0.01979256      0.3167500       249.8356       50797.44      0.7083135      0.9366812      0.1897343        4649.39        4981.33       1992.000     -0.0240069   0.000000E+00     -0.0030062     0.02187159    0.001501158    0.003365159
         8.2400       0.497127      0.2124102       -8.86212       0.260518       -8.59911     0.00121391      0.0010370    -0.00103199     -0.0626056      0.1024891       0.024160        4.97179      -1.172814       98.02858       5490.362      0.0061858      0.0161301    -0.00962025       787.8696       76.65223      0.0331609    -0.02360117       64.82690       65.88765    -0.01448430    -0.01469812    -0.01655278     0.00485057    -0.01979256      0.3166250       249.8363       50797.44      0.7083116      0.9366812      0.1897343        4648.95        4865.42       1992.000     -0.0304081   0.000000E+00     -0.0031657     0.02187159    0.001501158    0.003365159
         8.2800       0.411948      0.2666008       -8.74382       0.164250       -8.78746     0.00193334      0.0017583    -0.00103199     -0.0627015      0.1022015       0.024064        4.96429      -1.185288       98.01911       5490.515      0.0066649      0.0119603    -0.00775136       787.8696       76.65223      0.0333484    -0.02322459       64.35748       65.73106    -0.01474129    -0.01449784    -0.01692486     0.00409412    -0.01979256      0.3166250       249.8373       50797.44      0.7083089      0.9366812      0.1897343        4555.53        4830.14       1992.000      0.0152039   0.000000E+00     -0.0034262     0.02187159    0.001501158    0.003365159
         8.3200       0.421413      0.2813799       -8.69650       0.164250       -8.62265    -0.00022483      0.0010370    -0.00103199     -0.0627973      0.1019139       0.024064        4.95610      -1.206091       97.98605       5490.667      0.0049805      0.0046794    -0.00442686       787.8696       76.65223      0.0331609    -0.02350703       64.04453       65.41789    -0.01458714    -0.01449784    -0.01636675     0.00371587    -0.01979256      0.3166250       249.8405       50797.44      0.7082998      0.9366841      0.1897343        4494.37        4768.92       1992.000      0.0280076   0.000000E+00     -0.0036858     0.02187159    0.001501158    0.003365159
         8.3600       0.473467      0.1779253       -8.62551       0.260518       -8.64620     0.00265276      0.0010370    -0.00174987     -0.0628932      0.1016262       0.023968        4.94792      -1.228200       97.95098       5490.667      0.0021609     -0.0021228    -0.00115784       787.8696       76.61204      0.0333484    -0.02322459       63.86198       65.07862    -0.01474129    -0.01459798    -0.01655278     0.00333765    -0.01979256      0.3165000       249.8439       50797.44      0.7082901      0.9366841      0.1897343        4458.63        4701.82       1992.000      0.0016004   0.000000E+00     -0.0035932     0.02187159    0.001501158    0.003181994
         8.4000       0.317305      0.2025578       -8.74382       0.092049       -8.64620     0.00193334      0.0010370    -0.00174987     -0.0628932      0.1013386       0.023873        4.94037      -1.244170       97.94250       5490.820     -0.0002026     -0.0065693     0.00078820       787.8696       76.61204      0.0333484    -0.02303630       63.52295       64.89594    -0.01458714    -0.01438606    -0.01673880     0.00371587    -0.01979256      0.3165000       249.8447       50797.44      0.7082877      0.9366841      0.1897343        4391.24        4665.65       1992.000     -0.0680179   0.000000E+00     -0.0029027     0.02187159    0.001685914    0.003181994
         8.4400       0.383555      0.1976311       -8.72015       0.260518       -8.64620     0.00049460      0.0003157    -0.00103199     -0.0630850      0.1009551       0.023873        4.93482      -1.250179       97.96162       5491.429     -0.0011309     -0.0088282     0.00099087       787.8696       76.61204      0.0333484    -0.02360117       63.21000       64.55666    -0.01448430    -0.01469812    -0.01655278     0.00466144    -0.01979256      0.3165000       249.8429       50797.44      0.7082930      0.9366841      0.1897343        4327.94        4597.02       1992.000     -0.0280077   0.000000E+00     -0.0019099     0.02187159    0.001501158    0.003365159
         8.4800       0.350430      0.2567475       -8.69650       0.260518       -8.64620     0.00193334      0.0003157    -0.00103199     -0.0631808      0.1007634       0.023777        4.93159      -1.248285       98.05051       5491.429     -0.0006142     -0.0094472    -0.00016159       787.8696       76.56380      0.0331609    -0.02331874       63.15784       64.11301    -0.01448430    -0.01480992    -0.01673880     0.00447235    -0.01979256      0.3162500       249.8342       50797.44      0.7083176      0.9366841      0.1897343        4312.43        4503.18       1992.000      0.0912245   0.000000E+00     -0.0012448     0.02187159    0.001501158    0.003365159
         8.5200       0.350430      0.2863066       -8.50721       0.140183       -8.55202     0.00049460      0.0003157    -0.00103199     -0.0632767      0.1002840       0.023777        4.92877      -1.243419       98.21702       5491.429      0.0006414     -0.0084526    -0.00179463       787.8696       76.56380      0.0333484    -0.02313045       63.00137       63.98251    -0.01448430    -0.01470978    -0.01673880     0.00390500    -0.01979256      0.3162500       249.8179       50797.44      0.7083637      0.9366841      0.1897343        4274.36        4470.18       1992.000     -0.0168041   0.000000E+00     -0.0013317     0.02187159    0.001501158    0.003365159
         8.5600       0.359895      0.2271893       -8.72015       0.260518       -8.64620     0.00193334      0.0003157    -0.00174987     -0.0633726      0.1000923       0.023681        4.92477      -1.239500       98.40163       5491.582      0.0017697     -0.0058323    -0.00304462       787.8696       76.56380      0.0333484    -0.02341288       62.79274       63.72154    -0.01458714    -0.01470978    -0.01655278     0.00428322    -0.01979256      0.3162500       249.7999       50797.44      0.7084150      0.9366841      0.1897343        4225.19        4410.43       1992.000     -0.0624167   0.000000E+00     -0.0020550     0.02187159    0.001501158    0.003365159
         8.6000       0.307840      0.1828520       -8.76748       0.092049       -8.55202     0.00193334     -0.0025696    -0.00174987     -0.0634685      0.0997088       0.023585        4.91949      -1.241590       98.55251       5491.582      0.0023938     -0.0022430    -0.00358852       787.8696       76.51558      0.0331609    -0.02350703       62.55803       63.51276    -0.01445648    -0.01449784    -0.01618069     0.00409412    -0.02016693      0.3160625       249.7851       50797.44      0.7084569      0.9366871      0.1897343        4171.18        4361.46       1992.000      0.0168041   0.000000E+00     -0.0028288     0.02187159    0.001685914    0.003548265
         8.6400       0.378823      0.2321160       -8.74382       0.260518       -8.62265     0.00121391      0.0003157    -0.00174987     -0.0635643      0.0993253       0.023489        4.91267      -1.249493       98.65288       5491.734      0.0026839      0.0007474    -0.00370420       787.8696       76.51558      0.0335358    -0.02303630       62.32331       63.19958    -0.01444474    -0.01459798    -0.01636675     0.00333765    -0.01979256      0.3160625       249.7752       50797.44      0.7084848      0.9366871      0.1897343        4120.35        4294.91       1992.000      0.0544149   0.000000E+00     -0.0030117     0.02187159    0.001501158    0.003365159
         8.6800       0.364627      0.2666008       -8.57819       0.260518       -8.66974     0.00193334     -0.0011269    -0.00174987     -0.0636602      0.0990376       0.023489        4.90635      -1.260302       98.62662       5491.734      0.0028379      0.0012522    -0.00387651       787.8696       76.51558      0.0333484    -0.02350703       61.85389       63.04300    -0.01459888    -0.01469812    -0.01655278     0.00352678    -0.01979256      0.3160625       249.7778       50797.44      0.7084775      0.9366871      0.1897343        4027.93        4264.78       1992.000     -0.0088020   0.000000E+00     -0.0023426     0.02187159    0.001501158    0.003365159
         8.7200       0.411948      0.2370427       -8.57819       0.260518       -8.48139     0.00121391      0.0003157    -0.00174987     -0.0637561      0.0985583       0.023297        4.90262      -1.272157       98.47308       5491.734      0.0028418     -0.0014700    -0.00440724       787.8696       76.46735      0.0331609    -0.02322459       61.72350       62.78202    -0.01462671    -0.01470978    -0.01636675     0.00466144    -0.01979256      0.3158750       249.7929       50797.44      0.7084348      0.9366901      0.1897343        4007.08        4217.99       1992.000     -0.0704196   0.000000E+00     -0.0011498     0.02187159    0.001501158    0.003181994
         8.7600       0.307840      0.2764533       -8.55453       0.188317       -8.59911     0.00265276     -0.0004056    -0.00246775     -0.0638520      0.0983665       0.023201        4.90116      -1.283228       98.25291       5491.886      0.0026903     -0.0059819    -0.00524047       787.8696       76.46735      0.0335358    -0.02313045       61.43663       62.39055    -0.01472955    -0.01449784    -0.01692486     0.00503966    -0.01979256      0.3158750       249.8144       50797.44      0.7083737      0.9366901      0.1897343        3958.76        4148.91       1992.000      0.0168049   0.000000E+00     -0.0001671     0.02187159    0.001501158    0.003365159
         8.8000       0.369359      0.2764533       -8.45989       0.164250       -8.57557     0.00193334     -0.0004056    -0.00246775     -0.0638520      0.0978872       0.023106        4.90112      -1.292568       98.00549       5491.886      0.0023454     -0.0094544    -0.00605339       787.8696       76.46735      0.0335358    -0.02322459       61.35839       62.18177    -0.01459888    -0.01484102    -0.01655278     0.00390500    -0.01979256      0.3158750       249.8699       50797.44      0.7082165      0.9366901      0.1897343        3952.54        4116.78       1992.000      0.0208059   0.000000E+00      0.0000104     0.02187159    0.001501158    0.003365159
         8.8400       0.303108      0.2468951       -8.43623       0.212384       -8.52848     0.00193334     -0.0018482    -0.00246775     -0.0639478      0.0975995       0.022914        4.90071      -1.300144       97.80559       5492.039      0.0018195     -0.0096501    -0.00656493       787.8696       76.41912      0.0335358    -0.02322459       61.25407       61.97299    -0.01458714    -0.01459798    -0.01636675     0.00428322    -0.02016693      0.3156875       249.8893       50797.44      0.7081614      0.9366931      0.1897373        3938.65        4082.12       1992.000     -0.0104034   0.000000E+00     -0.0006298     0.02187159    0.001501158    0.003365159
         8.8800       0.350430      0.2271893       -8.36525       0.164250       -8.48139     0.00265276     -0.0018482    -0.00318563     -0.0640437      0.0971202       0.022818        4.89816      -1.306284       97.73231       5492.191      0.0013187     -0.0063867    -0.00666849       787.8696       76.41912      0.0333484    -0.02313045       60.96721       61.79031    -0.01445648    -0.01459798    -0.01599467     0.00428322    -0.02016693      0.3156875       249.8965       50797.44      0.7081411      0.9366931      0.1897373        3884.32        4048.60       1992.000     -0.0208059   0.000000E+00     -0.0016179     0.02187159    0.001501158    0.003365159
         8.9200       0.227394      0.2271893       -8.57819       0.260518       -8.45785     0.00193334     -0.0025696    -0.00318563     -0.0641396      0.0968325       0.022722        4.89348      -1.309647       97.79762       5492.191      0.0009273     -0.0014000    -0.00628967       787.8696       76.41912      0.0333484    -0.02331874       60.70641       61.65982    -0.01459888    -0.01459798    -0.01655278     0.00371587    -0.02016693      0.3156875       249.8901       50797.44      0.7081591      0.9366931      0.1897373        3829.71        4019.93       1992.000      0.0056022   0.000000E+00     -0.0023863     0.02171626    0.001685914    0.003548265
         8.9600       0.331502      0.2666008       -8.48355       0.188317       -8.48139     0.00193334     -0.0018482    -0.00318563     -0.0642354      0.0964491       0.022626        4.88798      -1.309680       97.93736       5492.496      0.0004512      0.0031290    -0.00538599       787.8696       76.41912      0.0333484    -0.02341288       60.54994       61.45103    -0.01436973    -0.01449784    -0.01599467     0.00409412    -0.02016693      0.3155000       249.8765       50797.44      0.7081977      0.9366931      0.1897373        3791.94        3971.62       1992.000      0.0408107   0.000000E+00     -0.0026021     0.02187159    0.001501158    0.003365159
         9.0000       0.317305      0.1976311       -8.69650       0.260518       -8.41076     0.00265276     -0.0011269    -0.00390351     -0.0643313      0.0959697       0.022434        4.88220      -1.304553       98.07295       5492.496     -0.0002874      0.0060996    -0.00413339       787.8696       76.37089      0.0333484    -0.02303630       60.44563       61.13786    -0.01448430    -0.01469812    -0.01618069     0.00447235    -0.02016693      0.3155000       249.8633       50797.44      0.7082352      0.9366931      0.1897373        3765.81        3903.77       1992.000     -0.0328087   0.000000E+00     -0.0023358     0.02187159    0.001501158    0.003365159
         9.0400       0.298376      0.2370427       -8.45989       0.260518       -8.48139     0.00265276     -0.0004056    -0.00390351     -0.0642354      0.0956821       0.022243        4.87720      -1.295572       98.10785       5492.496     -0.0012006      0.0076549    -0.00296373       787.8696       76.37089      0.0335358    -0.02341288       60.31523       60.92908    -0.01448430    -0.01459798    -0.01636675     0.00428322    -0.02016693      0.3155000       249.8599       50797.44      0.7082449      0.9366931      0.1897373        3738.46        3860.77       1992.000     -0.0016004   0.000000E+00     -0.0019562     0.02187159    0.001501158    0.003365159
         9.0800       0.251055      0.2616742       -8.53087       0.188317       -8.45785     0.00193334     -0.0025696    -0.00390351     -0.0644272      0.0952986       0.022147        4.87310      -1.285645       98.02244       5492.648     -0.0018531      0.0080299    -0.00232873       787.8696       76.37089      0.0331609    -0.02350703       60.18483       60.72030    -0.01462671    -0.01448621    -0.01618069     0.00428322    -0.02016693      0.3153125       249.8682       50797.44      0.7082213      0.9366961      0.1897373        3714.80        3821.49       1992.000      0.0464118   0.000000E+00     -0.0018251     0.02187159    0.001501158    0.003365159
         9.1200       0.274715      0.2518218       -8.72015       0.260518       -8.50493     0.00193334     -0.0004056    -0.00390351     -0.0645231      0.0950109       0.021859        4.86869      -1.277774       97.84214       5492.648     -0.0014894      0.0067666    -0.00239351       787.8696       76.31462      0.0333484    -0.02294216       60.02836       60.53761    -0.01434189    -0.01459798    -0.01636675     0.00447235    -0.02016693      0.3153125       249.8858       50797.44      0.7081714      0.9366961      0.1897373        3690.67        3792.19       1992.000     -0.0184044   0.000000E+00     -0.0020044     0.02187159    0.001501158    0.003365159
         9.1600       0.312572      0.2370427       -8.48355       0.188317       -8.45785     0.00193334     -0.0004056    -0.00390351     -0.0645231      0.0945316       0.021763        4.86374      -1.273594       97.64124       5492.648      0.0004001      0.0028982    -0.00284207       787.8696       76.31462      0.0333484    -0.02341288       59.81973       60.38103    -0.01474129    -0.01470978    -0.01655278     0.00466144    -0.02016693      0.3153125       249.9053       50797.44      0.7081161      0.9366961      0.1897373        3656.91        3768.87       1992.000     -0.0440124   0.000000E+00     -0.0022362     0.02187159    0.001501158    0.003365159
         9.2000       0.322038      0.1976311       -8.48355       0.260518       -8.41076     0.00265276     -0.0004056    -0.00390351     -0.0646189      0.0941481       0.021667        4.85882      -1.273921       97.49801       5492.801      0.0033624     -0.0039759    -0.00305834       787.8696       76.31462      0.0333484    -0.02360117       59.76757       60.22444    -0.01459888    -0.01470978    -0.01655278     0.00503966    -0.02016693      0.3150625       249.9192       50797.44      0.7080767      0.9366991      0.1897373        3650.70        3741.85       1992.000      0.0056023   0.000000E+00     -0.0021873     0.02187159    0.001501158    0.003365159
         9.2400       0.369359      0.2271893       -8.36525       0.116116       -8.36368     0.00193334      0.0003157    -0.00462139     -0.0646189      0.0936687       0.021476        4.85441      -1.277317       97.43054       5492.953      0.0060254     -0.0122963    -0.00265893       787.8696       76.26640      0.0331609    -0.02350703       59.29815       60.09395    -0.01470173    -0.01449784    -0.01673880     0.00428322    -0.02016693      0.3150625       249.9258       50797.44      0.7080581      0.9366991      0.1897373        3559.66        3718.45       1992.000      0.0232055   0.000000E+00     -0.0017145     0.02187159    0.001501158    0.003365159
         9.2800       0.293644      0.2370427       -8.48355       0.164250       -8.50493     0.00193334     -0.0018482    -0.00462139     -0.0646189      0.0932852       0.021188        4.85114      -1.279831       97.41226       5492.953      0.0068254     -0.0187034    -0.00180835       787.8696       76.26640      0.0331609    -0.02284801       59.08952       59.88517    -0.01462671    -0.01459798    -0.01655278     0.00428322    -0.02054137      0.3150625       249.9276       50797.44      0.7080531      0.9366991      0.1897373        3518.75        3677.50       1992.000      0.0120038   0.000000E+00     -0.0010165     0.02187159    0.001501158    0.003365159
         9.3200       0.397752      0.1976311       -8.34158       0.308652       -8.41076     0.00337219     -0.0011269    -0.00462139     -0.0648107      0.0929976       0.021092        4.84955      -1.279439       97.41708       5492.953      0.0050136     -0.0202223    -0.00101358       787.8696       76.26640      0.0333484    -0.02341288       59.06344       59.62419    -0.01448430    -0.01459798    -0.01636675     0.00466144    -0.02054137      0.3150625       249.9271       50797.44      0.7080544      0.9366991      0.1897373        3513.36        3625.23       1992.000     -0.0288078   0.000000E+00     -0.0005692     0.02187159    0.001501158    0.003365159
         9.3600       0.279447      0.2419684       -8.27060       0.140183       -8.41076     0.00337219     -0.0047334    -0.00390351     -0.0648107      0.0925182       0.020900        4.84832      -1.276468       97.41443       5492.953      0.0013740     -0.0164290    -0.00065275       787.8696       76.21013      0.0333484    -0.02360117       59.03736       59.46761    -0.01459888    -0.01428592    -0.01618069     0.00503966    -0.02054137      0.3148750       249.9273       50797.44      0.7080537      0.9366991      0.1897373        3507.24        3593.06       1992.000      0.0552143   0.000000E+00     -0.0007249     0.02187159    0.001501158    0.003365159
         9.4000       0.288912      0.2173369       -8.43623       0.284585       -8.50493     0.00337219     -0.0040121    -0.00462139     -0.0648107      0.0922306       0.020613        4.84586      -1.270589       97.38385       5492.953     -0.0019333     -0.0095932    -0.00071346       787.8696       76.21013      0.0333484    -0.02303630       58.88088       59.41541    -0.01462671    -0.01469812    -0.01599467     0.00371587    -0.02054137      0.3148750       249.9303       50797.44      0.7080453      0.9366991      0.1897373        3477.20        3583.83       1992.000     -0.0208050   0.000000E+00     -0.0013349     0.02187159    0.001501158    0.003365159
